"player_name"	"plate_x"	"plate_z"	"pitch_type"	"events"	"description"	"launch_angle"	"launch_speed"	"hc_x"	"hc_y"	"balls"	"strikes"	"type"	"game_year"	"stand"	"woba_value"	"p_throws"	"estimated_ba_using_speedangle"	"estimated_woba_using_speedangle"
"Miguel Cabrera"	-1.0767	2.3818	"FF"	"force_out"	"hit_into_play"	-6	88.5	99.66	165.43	0	1	"X"	2019	"R"	0	"L"	0.234	0.221
"Miguel Cabrera"	-0.0716	2.5994	"FF"	NA	"foul_tip"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"L"	NA	NA
"Lorenzo Cain"	-0.8547	2.765	"SI"	"single"	"hit_into_play_no_out"	-22	84.9	135.05	178.49	0	0	"X"	2019	"R"	0.9	"R"	0.053	0.045
"Joe Panik"	0.3536	2.8517	"FF"	"field_out"	"hit_into_play"	54	76	98.67	118.07	3	1	"X"	2019	"L"	0	"R"	0.058	0.049
"Joe Panik"	0.1058	4.1173	"FF"	NA	"ball"	NA	NA	NA	NA	2	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-0.2713	1.29	"FF"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	1.0876	2.9066	"FF"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"L"	NA	"R"	NA	NA
"Miguel Cabrera"	0.6004	0.1907	"FC"	"strikeout"	"swinging_strike_blocked"	NA	NA	NA	NA	0	2	"S"	2019	"R"	0	"R"	NA	NA
"Joe Panik"	-0.0735	1.4726	"FS"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"L"	NA	"R"	NA	NA
"Miguel Cabrera"	-0.9175	2.8286	"CH"	NA	"foul"	-26	71.2	NA	NA	0	1	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.4506	3.0522	"FC"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	-0.0216	2.4227	"SL"	"field_out"	"hit_into_play"	8	109.3	107.8	147.6	0	0	"X"	2019	"R"	0	"R"	0.766	0.763
"Lorenzo Cain"	-0.5579	3.3049	"FT"	"field_out"	"hit_into_play"	55	76	160.77	126.42	3	2	"X"	2019	"R"	0	"R"	0.055	0.054
"Lorenzo Cain"	0.0938	1.9299	"FF"	NA	"called_strike"	NA	NA	NA	NA	3	1	"S"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-0.1096	2.0977	"FT"	"single"	"hit_into_play_no_out"	-14	103.7	131.5	164.91	1	0	"X"	2019	"R"	0.9	"R"	0.266	0.244
"Lorenzo Cain"	0.1319	3.9214	"FF"	NA	"ball"	NA	NA	NA	NA	2	1	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	0.3402	1.3838	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	0.2753	2.1261	"SI"	"force_out"	"hit_into_play_score"	-38	91.1	119.99	169.15	0	0	"X"	2019	"R"	0	"R"	0.055	0.042
"Lorenzo Cain"	-1.4949	2.1042	"FT"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-1.6131	2.539	"FT"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-0.3303	1.8106	"FT"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	1.1341	2.4144	"FF"	"field_out"	"hit_into_play"	28	79.1	162.51	81.68	0	0	"X"	2019	"R"	0	"R"	0.174	0.168
"Miguel Cabrera"	0.1515	2.2032	"SL"	"field_out"	"hit_into_play"	30	95.4	66.35	53	2	2	"X"	2019	"R"	0	"R"	0.253	0.444
"Miguel Cabrera"	0.0429	1.9035	"SL"	NA	"foul"	13	71.4	NA	NA	2	2	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.3613	0.1906	"CH"	NA	"ball"	NA	NA	NA	NA	1	2	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.2401	2.4385	"FF"	NA	"foul"	9	83.2	NA	NA	1	1	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	-0.7522	3.3166	"SL"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.3247	1.4952	"SL"	NA	"swinging_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Joe Panik"	-0.5735	2.1675	"SL"	"field_out"	"hit_into_play"	12	79.4	154.61	147.87	2	1	"X"	2019	"L"	0	"R"	0.534	0.484
"Joe Panik"	-1.6599	2.6704	"SL"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-0.6897	2.3339	"FF"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-1.9312	3.5175	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"L"	NA	"R"	NA	NA
"Manny Machado"	-0.0877	2.2182	"FT"	"field_out"	"hit_into_play"	30	94.4	NA	NA	0	1	"X"	2019	"R"	0	"R"	0.2	0.311
"Manny Machado"	0.5087	0.9393	"KC"	NA	"swinging_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-0.2619	2.4452	"FF"	"field_out"	"hit_into_play"	-20	92.8	100.53	161.53	1	1	"X"	2019	"R"	0	"R"	0.113	0.111
"Lorenzo Cain"	1.1339	2.8028	"FC"	NA	"foul"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-0.7972	3.2472	"CU"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	-0.608	2.4533	"SL"	"strikeout"	"called_strike"	NA	NA	NA	NA	2	2	"S"	2019	"R"	0	"R"	NA	NA
"Jose Martinez"	0.4944	3.0517	"FF"	NA	"foul"	48	91.5	NA	NA	2	1	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	0.6416	2.0298	"SL"	NA	"foul"	NA	NA	NA	NA	2	0	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	1.1878	0.9175	"SL"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	0.5379	1.0293	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-1.2166	2.2277	"FF"	"single"	"hit_into_play_score"	21	75.7	101.35	99.47	1	1	"X"	2019	"R"	0.9	"R"	0.924	0.865
"Matt Chapman"	-0.2091	2.513	"SL"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-1.0275	4.496	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	0.8934	1.9285	"FF"	"field_out"	"hit_into_play"	34	81	173.96	92.77	1	1	"X"	2019	"R"	0	"R"	0.024	0.034
"Nolan Arenado"	0.3452	2.372	"FF"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	1.1069	1.7137	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.6416	2.4654	"SL"	"field_out"	"hit_into_play"	59	90.7	174.99	128.18	0	0	"X"	2019	"R"	0	"R"	0.016	0.014
"Joe Panik"	1.0012	3.2191	"FF"	"walk"	"ball"	NA	NA	NA	NA	3	2	"B"	2019	"L"	0.7	"R"	NA	NA
"Joe Panik"	-0.7607	2.0786	"FF"	NA	"foul"	NA	NA	NA	NA	3	2	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-0.3233	2.3832	"FF"	NA	"foul"	45	84.2	NA	NA	3	2	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	0.8419	2.4551	"FF"	NA	"foul"	19	92	NA	NA	3	1	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-1.4602	2.1694	"FF"	NA	"ball"	NA	NA	NA	NA	2	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	0.818	1.3479	"CH"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	0.0279	0.5994	"CH"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-0.3699	2.4948	"CU"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"L"	NA	"R"	NA	NA
"Matt Chapman"	-0.1174	5.1789	"FF"	"walk"	"ball"	NA	NA	NA	NA	3	0	"B"	2019	"R"	0.7	"L"	NA	NA
"Lorenzo Cain"	-1.0978	2.616	"FF"	"double"	"hit_into_play_no_out"	-12	82	39.36	112.47	1	1	"X"	2019	"R"	1.25	"R"	0.108	0.101
"Matt Chapman"	-0.8989	3.3374	"CU"	NA	"ball"	NA	NA	NA	NA	2	0	"B"	2019	"R"	NA	"L"	NA	NA
"Matt Chapman"	1.6976	3.0883	"CH"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"R"	NA	"L"	NA	NA
"Lorenzo Cain"	-0.3226	3.6008	"FF"	NA	"foul"	-30	53.9	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.2071	3.0494	"FF"	"field_out"	"hit_into_play"	36	102.2	190.77	54.9	2	1	"X"	2019	"R"	0	"R"	0.453	0.861
"Lorenzo Cain"	1.8519	1.5537	"CU"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	0.36	5.4098	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"L"	NA	NA
"Miguel Cabrera"	1.2401	0.119	"SL"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	1.3822	1.0525	"SL"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
